label,duration,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,file,strain
flat,0.0563,32200,32700,32700,32700,32700,33200,33200,33200,33200,33200,33200,33200,33200,33200,33200,33200,33200,33200,33200,33200,33600,33600,34100,34100,34100,34600,34600,34600,34600,34600,34600,34600,34600,34100,34100,34100,33600,33600,33600,33600,33600,34100,33600,34100,34100,34100,34100,34100,34100,40000,T0000105,SD
flat,0.0742,32700,32700,32700,,,33200,33200,33200,33200,33200,33600,33600,33200,33600,33600,33200,33200,33600,33600,33600,33600,33200,33200,32700,32700,33200,33200,32700,32700,32700,32700,33200,32700,33600,33600,33600,33600,34100,34100,33600,34100,34100,34100,34100,33600,33600,33200,33200,33600,33200,T0000105,SD
downward ramp,0.023,41900,41900,42400,42400,41500,41500,41900,,40500,41000,40500,40500,40500,40500,,,,,,,,,,,,,,,,,,39000,38000,,,,,,,,,,,38500,38000,38000,37500,,37500,37500,T0000105,SD
flat,0.0209,,,,,,,,,37100,37500,36600,,,,,,36600,,,,,,,,,,,36100,,,,,,,,,,,,,,,,,,,,,,,T0000105,SD
flat,0.0194,33600,33600,,33600,33600,33600,34100,34100,,,,,,,,,,,,,,,,,,,33600,33600,33600,,,,,,,,,,33600,33600,34100,34100,,,33200,33200,,,,,T0000105,SD
flat,0.025,,,,,,,,,,,,38500,,38500,,,38500,38500,38500,39000,39000,39000,39000,39000,39000,39000,39000,39000,40000,40000,40000,,39500,,,,,,40500,41000,41000,41000,,,41500,,41500,41900,,41900,T0000105,SD
flat,0.0967,,,,35100,35100,35100,,,,,,,,,,,,,,,,34100,,,,,34600,34600,34600,20500,,34600,34600,34600,34600,34600,34600,,35100,35100,35100,35600,35100,35600,35600,35100,35100,35100,34600,34600,T0000105,SD
short,0.0071,,,,,,,,41500,41500,41500,41500,,,,,,,,,,,,,,,,,,,,,,,,,41900,41900,41900,41900,41900,41900,41900,42400,42400,42400,42400,41900,41900,41900,42400,T0000105,SD
flat,0.0665,,,,35600,35600,36600,36600,36600,36600,36600,37100,37100,37100,37100,37100,37100,37100,,,37100,,,37100,37100,37100,,,,,,,,,,,37100,37100,37100,37100,37500,37500,37500,38000,,37100,37500,36600,36600,36100,,T0000105,SD
short,0.0056,,,,,,,,,,,,,,,,,,,41000,41000,41000,41000,41000,41500,41500,41500,41500,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41500,41500,41500,41500,41000,41000,41000,41000,,T0000105,SD
flat,0.0686,35600,,,,,36100,,,,,37100,,,,36100,36100,36100,,35600,,,,,,,,,,,34100,35100,,,,,34100,34100,34600,34100,,34100,34100,34600,,,34100,34600,,,,T0000105,SD
flat,0.1187,,41000,40500,40000,39000,39000,39000,39000,38500,37500,,,,,,,,,,,,,,32700,,,,,,,,,,,,,,,,,,,,,,,,,,,T0000105,SD
flat,0.1576,34600,34600,35100,36100,,35600,35100,35100,35100,35100,35100,34100,34100,34100,33600,33600,33600,33600,33600,33600,33600,33600,33600,33600,33600,33600,33600,33600,33600,33600,33600,33600,33600,33200,33200,33200,,32700,33200,,,,,,32700,,33600,33600,34100,,T0000105,SD
flat,0.0225,,,41900,41900,41900,41900,41900,42400,42400,42400,42400,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,43400,43400,43400,43400,43400,43400,43400,43400,43900,43900,44900,,T0000105,SD
short,0.004,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,T0000105,SD
short,0.0035,,,,,,,,,,,,,,,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,,,,,,,,,T0000105,SD
flat,0.0363,37500,37500,37500,37500,37500,37500,37100,37100,37100,37100,37100,36600,36600,36600,36600,36600,36100,35600,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,,,35100,36100,T0000105,SD
short,0.0051,34600,34600,34600,34600,34600,34600,34600,34600,34600,34600,34600,34600,34600,34600,34600,34600,34600,34600,34600,34600,34600,34600,34600,34600,34600,34600,34600,34600,34600,34600,34600,34600,34600,34600,34600,34600,34600,34600,34600,34600,34600,34600,34600,34600,34600,34600,34600,34600,34600,34600,T0000105,SD
short,0.0092,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,45400,45400,45400,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44400,44400,44400,44400,44400,44400,43900,43900,43900,43900,43900,,,,,,,,,,T0000105,SD
flat,0.0455,44400,44900,45400,45400,45800,45800,45800,45800,46300,46300,45800,45800,45800,45800,45800,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,44900,45400,44900,44900,44900,45400,45400,45400,45800,46300,46300,46300,46800,46800,46800,47300,47300,46800,46800,47300,47300,,T0000105,SD
inverted-u,0.0296,43900,43900,44400,44400,44400,44900,45800,45800,45800,46300,46300,46800,47300,47300,47300,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,48300,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47300,47800,47300,47300,47300,46800,46800,45800,T0000105,SD
short,0.0112,44400,44400,44400,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,43900,43900,43900,43400,43400,43400,43400,43900,43900,43400,43400,43400,43400,43400,42900,42900,42900,42900,42900,42900,42400,T0000105,SD
flat,0.0394,41900,41900,41900,41900,41900,41900,41900,41900,41900,41500,41900,41500,41500,,,,41500,41900,41500,41500,41500,,,41500,41500,41000,41000,41000,41000,41000,41000,41000,41000,41000,,40500,41500,41500,41000,40500,40500,41500,40500,,40500,,40500,41500,40500,40500,T0000105,SD
complex,0.0675,49800,49800,51200,51700,51700,51700,51700,51700,51700,51700,51200,51200,50700,51200,51200,51200,51200,51700,51700,51200,51200,51700,51200,51200,51200,50700,50200,50200,50200,50200,50700,51200,51200,51200,51200,51200,50700,50200,49800,49300,,,,,,,,49300,49300,,T0000105,SD
flat-z,0.3348,33200,34600,39000,40000,40500,41000,41000,41000,41000,41000,41000,40000,40000,40000,40000,40000,40000,40000,40000,40500,40500,41000,41500,41900,42400,42400,42400,42900,42900,41900,41900,41500,41000,41000,41500,41500,41500,41500,41500,41000,38000,34600,34600,34600,34600,34600,35100,35100,35100,35100,T0000105,SD
flat-z,0.2938,33200,,34100,34100,34100,34600,34600,37500,,34100,33600,,,33200,,34600,34100,35100,34600,34600,41500,34100,33600,33600,33600,32700,33200,33200,33600,33200,33200,33600,33600,33600,33600,33600,33200,33600,33600,33600,33600,34100,34100,34100,36100,36600,36100,36600,36600,37500,T0000105,SD
flat,0.1203,,32700,33200,33200,33600,33600,33200,33200,33200,33200,,32700,,33200,33200,32700,32700,32700,32700,32700,32700,32700,32700,32700,32200,,,41500,32700,32200,32700,32700,32200,31700,32200,32200,32200,32200,,,,31700,,31700,31700,31700,31700,,,32200,T0000105,SD
flat,0.0348,,,,,,,,,,,50700,50200,50200,50200,50200,50200,50200,51200,50700,50700,50700,,,,51700,,,,,,,,52200,,,,,,53700,54600,54600,54600,54600,55100,,57600,,,,,T0000105,SD
flat,0.0609,41000,41000,41500,41900,42400,42900,42900,42900,42900,43400,43400,,,43900,,,43400,,,,44400,43900,43900,43900,,,,,,,,,,,,,,,,,,,45400,46300,45800,,45400,44400,44400,43400,T0000105,SD
flat,0.0967,44900,44400,44900,44900,,,,,,,,46300,45800,45800,45400,46300,45800,,,,,,,,,,,,,,,,,,,,,,46300,46800,46800,,46800,46300,45800,45800,44900,43400,42900,,T0000105,SD
flat-z,0.1177,39500,40500,41000,41000,41000,40500,40500,40500,40500,41000,41000,41000,41000,41000,41000,41000,41000,40500,40500,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41500,41500,41900,41900,41900,41900,41900,41900,41900,41500,41500,41500,41500,41500,41500,41500,41500,41000,40000,39500,36100,T0000105,SD
step down,0.1556,60500,61000,62000,62500,62000,61500,58500,,,35600,37100,37100,37500,37500,37500,38000,38000,38000,38000,37500,37500,37500,37500,37500,37500,37500,37500,38000,38000,38000,38000,38000,38000,38500,38500,38500,38500,38500,38000,38000,38000,38000,37500,37500,37100,36600,36100,,45800,,T0000105,SD
short,0.0025,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40000,40000,40000,40000,40000,40000,40000,40000,40000,40500,T0000105,SD
flat,0.1228,39500,39000,39500,39500,39500,39500,39500,39000,39000,38500,38500,38500,38000,38000,38000,37500,37500,37500,37100,37100,37100,36600,36600,36600,36100,35600,35600,35100,35100,35100,35100,35100,35100,34600,34600,34600,35100,34600,34600,34100,34100,34600,34100,33600,34100,34100,34100,34100,34100,33600,T0000105,SD
flat,0.281,,47800,48800,48800,47800,46300,45800,,45400,45800,45800,47300,46800,46800,46800,46300,45800,45800,44900,44900,44900,44900,43900,43400,42900,41900,41500,,41000,41000,41000,41500,41000,41900,41900,41900,41900,41900,42400,42400,42400,42400,42900,42900,42900,42900,42400,42900,41500,41900,T0000105,SD
flat-mz,0.345,33200,35100,39500,39500,40000,40500,41000,41000,42400,42900,42900,42900,42900,42900,42400,42900,42900,42900,42400,42900,42900,42900,42400,42400,41500,41000,41000,41000,40500,40000,40000,40000,40000,40500,40000,40500,40000,40500,40500,41000,41000,40500,40000,40000,40000,40000,40000,39000,33600,,T0000105,SD
flat-z,0.1873,32700,33600,34100,35600,38500,38500,38500,39000,39000,39500,39500,39500,39500,40000,40000,40000,40000,40000,40000,39500,39500,39500,39500,39500,39500,39500,39500,39000,39500,39500,39500,39500,39500,39500,39500,40000,40000,40000,40000,40500,40500,40000,40000,40500,40500,40500,40500,41000,41000,40500,T0000105,SD
flat-z,0.3384,33200,33600,34100,34600,34600,35100,37500,38000,38000,38000,38000,38000,38000,38500,39500,38500,34100,34600,34100,34100,34100,34600,35600,37500,,,60500,57600,56600,34100,34600,35100,37100,37100,37100,37100,37100,37100,37500,37500,37500,38000,37500,37100,34600,36100,36600,37500,39000,41000,T0000105,SD
flat-mz,0.0819,34100,34100,34100,34100,34600,34600,34600,34600,35100,35100,36600,37100,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,34600,34600,34600,34100,34100,34100,34100,34100,33600,33600,33600,33600,33600,33600,34100,34100,33600,33600,33600,33600,34100,34600,35600,,,T0000105,SD
flat-z,0.1024,34100,34100,34100,34600,34600,35100,35100,35100,35100,42900,37100,37100,43400,37100,42900,42900,42900,42900,42900,37100,43400,43400,37100,37100,37100,43900,37100,36600,36600,36600,37100,36600,36600,36600,36600,37100,36600,36600,36600,36600,36600,36600,36600,36100,36100,36100,36100,36100,36100,,T0000105,SD
short,0.0117,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,56100,55600,55600,55600,55600,55600,55600,55100,55100,55100,55100,55100,T0000105,SD
step up,0.0435,,34100,34600,34600,34600,34600,34600,34600,34600,35100,35600,35100,36600,37500,37500,37500,38000,38000,38000,38500,38500,37500,37500,,,,,,,,,,46300,,,,,,,,,,,,,,,,,,T0000105,SD
flat,0.0312,42400,41500,41500,,,,,,,41900,,42400,42900,,,43400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42900,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42900,42400,42400,43900,43900,43400,43400,T0000105,SD
flat,0.0419,,46300,45800,46300,46300,46300,46300,46300,46300,46300,46300,45800,45400,45800,45400,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,,45800,45800,45800,45800,45800,45800,46300,46300,46800,47300,46800,,T0000105,SD
flat-mz,0.0655,39500,39500,,,,,,,,,,,,41000,41500,41500,41000,41000,40500,40500,40500,40000,,,57600,,46300,46300,46300,46300,46800,,,,,47300,40500,40000,40000,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,,T0000105,SD
flat,0.0322,62000,,,,62000,62000,62500,62000,62000,61500,61500,61500,61500,61500,61000,61500,61500,61500,61500,62000,61500,61500,61500,,,,,,,,,,,,,,,,,,,62000,62500,62900,62500,62500,62500,62000,,62000,T0000105,SD
flat,0.0163,,,45400,45400,,44400,44400,44400,,,44400,45400,45400,,45400,45400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44900,43900,43900,,,,,,,,,,,,,44400,44400,44400,,44400,44400,44400,,T0000105,SD
flat,0.0302,44900,,,,,,,,,,43400,,,,,,,,,,,,,42400,43400,42900,42900,43400,42900,42900,43400,43400,43900,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,43400,42900,,42400,42400,42400,T0000105,SD
step down,0.1141,64400,64400,65400,,64900,41000,41900,42400,42400,42400,41900,41900,41500,41500,41900,41900,41900,42400,42400,42400,42400,41900,41900,41500,41500,41000,40500,40500,40500,39500,39000,39500,38000,38500,38000,37100,36600,37100,36100,,,35600,,,35100,34600,39000,34100,,,T0000105,SD
step down,0.0404,61500,61500,61500,61500,,,,,,,,,,,,59500,,,,,,,,,,,60500,61500,62000,62500,62500,62500,62900,62900,62900,62500,62500,61500,60500,60000,59500,,48300,48800,,,49300,48800,48800,48800,T0000105,SD
downward ramp,0.0527,50200,50700,50700,,,,,,,,,,,,,,,,,,,,,,41900,41000,41000,,40500,41000,40000,40000,41000,41000,41500,41900,42400,42400,42400,42400,41900,42400,42400,42400,42400,42900,42900,42900,42400,41900,T0000105,SD
flat,0.0558,,,,,45400,44900,44900,45400,45400,,,,,,,,,,,49300,49300,,,49800,49800,,,,,,,,49800,,,49800,,50200,50700,50200,50200,,50200,,52700,52200,52700,52700,52700,53700,T0000105,SD
flat-z,0.0814,,44400,43900,43900,43900,43900,44400,43900,43900,42900,42900,42400,42400,42400,42900,42400,42400,,,44400,,,,,,,,,50200,50700,,50700,,,,,,,,51700,52200,52200,52700,,,52700,53200,53700,54100,,T0000105,SD
step down,0.0568,45400,,46300,45800,45800,46300,46300,46300,46300,46300,46800,46800,47300,47300,47300,47300,47800,47800,47800,47800,47800,47800,47300,,,37500,37500,,,,,,,,,,,34600,35100,35100,35600,35100,35100,35100,,,36100,,,,T0000105,SD
flat,0.0245,44400,44400,44400,45400,44900,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45400,45800,45800,45800,46300,45800,45800,47300,47300,47800,46800,47300,48300,48300,47800,48300,47800,47800,48300,T0000105,SD
downward ramp,0.1699,47800,48300,47800,47300,46300,45800,45400,44400,44900,44900,44400,44400,44400,44400,44400,46300,45800,,,,,,39500,40000,39500,39500,39500,39500,39000,38500,38000,38000,37500,37500,37100,37500,37500,37100,36600,,36600,41900,41500,35100,35100,35100,34100,34100,,33200,T0000105,SD
flat,0.0435,43900,44400,44400,44400,44400,44400,43900,43400,43400,42400,42400,42400,41900,41500,41500,41500,41000,41000,41000,40500,40500,40500,40000,40000,39500,39500,39000,39000,39000,39000,38500,38500,38500,38500,,37500,38500,38500,38500,38500,38000,38000,38000,,37500,37500,37500,37500,37500,,T0000105,SD
short,0.0117,,,,60000,60000,59500,59500,59500,59500,59500,59500,59500,59500,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,59500,59500,59500,59500,59500,59500,59500,59500,59000,59000,59000,59500,59500,59500,59500,59000,59000,59000,59000,59000,59000,59000,59000,59500,59500,59000,T0000105,SD
flat,0.0465,,,,41000,,,,40500,40500,,,,,,,,40000,39500,39500,39000,,,,,,,38500,38500,38500,38500,,,,,,38500,39000,39000,39000,39000,39500,39000,39500,39500,39500,39500,39500,39500,39500,,T0000105,SD
short,0.0117,48800,48800,48800,48300,48300,48800,48800,48800,48800,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49800,49800,49300,49300,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,50200,50200,50200,50200,50200,50200,49800,49800,50200,50200,50200,T0000105,SD
flat,0.0209,,,,44400,,44400,,,,44900,45400,45400,45400,45400,45400,45800,,,,,,,,,46800,46800,46300,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,47300,46800,46800,46800,46300,,T0000105,SD
flat,0.0435,,,,,,,,46800,47300,47300,47800,48300,48300,48300,48800,48300,48300,48800,48800,48800,48800,48800,48800,49300,49300,49300,49300,49300,49800,49800,49800,49800,50200,50200,50200,50700,50700,50700,50700,50700,51200,51200,51700,51700,51700,53200,54600,55100,,,T0000105,SD
flat,0.0261,,,46300,46800,46800,46800,46800,47300,47300,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,47800,48300,48300,48300,48300,48800,48300,49300,48800,49300,49300,49300,49300,49300,49300,49800,49300,,T0000105,SD
complex,0.0322,,,47300,47800,47300,47800,46800,,46300,,,,,,,42900,41900,41500,46300,41900,46800,,,,,,,,,,,48800,48300,48300,48300,48800,48800,49300,48800,49300,49300,49300,49300,49300,49300,49300,49300,48800,49300,48800,T0000105,SD
flat,0.087,40500,41000,41500,42900,,,43900,43900,43900,43400,43400,43400,43400,42900,42900,42900,42400,41900,41900,41900,41500,41500,41500,41500,41500,41900,41900,41900,41900,41900,41900,41900,42400,42400,42400,42400,42400,42400,42400,42900,43400,43400,43400,43900,43900,44400,44400,44900,44400,45400,T0000105,SD
short,0.0046,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,47300,47300,47300,47300,47300,47300,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,46800,T0000105,SD
flat,0.0276,47800,47800,47800,47800,47800,47800,47800,47800,47300,47300,47300,47300,47300,47300,47300,47300,47300,46800,46800,46800,46300,46300,46300,45800,45800,45800,45800,45800,45800,,45400,45400,45800,45400,45400,45400,45400,45400,45800,45400,45800,45800,45800,45800,45800,45400,45400,44900,44900,,T0000105,SD
flat,0.0199,47800,47800,,,,,,,48300,48300,48300,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,,,48800,48800,,,50200,49300,49300,49800,49800,49800,49800,49800,50200,50700,49800,,,50200,50200,,,T0000105,SD
flat-z,0.1054,43400,43400,44400,44400,,44900,44900,,44400,,,,,46300,46800,48300,48800,49300,49300,49300,49300,49300,49300,49800,49800,50200,50700,,,,,49800,49300,49300,48800,48300,48800,48300,48300,48300,48300,48800,48800,49300,49300,49800,49800,49800,50200,50200,T0000105,SD
short,0.004,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,53200,T0000105,SD
flat,0.024,52700,52700,52700,52700,52700,52700,52700,52700,52700,52700,52700,52700,52700,52700,52700,52700,52700,52700,52700,52700,52700,52700,52700,52700,52700,52700,53200,53200,53200,53200,53200,53200,53700,53700,53700,53700,54100,54600,54600,54600,54600,55100,55100,55100,55600,55600,55600,55600,,,T0000105,SD
short,0.0056,48800,48800,48800,48800,48800,48800,48800,48800,48800,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,48800,48800,48800,48800,48300,T0000105,SD
flat,0.1029,51200,52200,52700,52700,53200,53200,53200,53200,53700,53700,54100,54100,54600,55100,55100,55600,55100,55100,55100,55600,55600,56100,56100,56100,56100,56100,55600,55100,55100,54600,54600,54100,54100,53700,53700,53700,53700,53200,53200,52700,52700,52700,52700,52700,52700,52200,52200,52200,52700,52200,T0000105,SD
flat,0.0537,49800,49800,49800,49800,50200,50200,50200,50200,49800,50200,50200,50200,50200,50200,50200,50700,50700,50700,51200,51200,51200,50700,,,,,,,,,,,50700,50700,50200,50200,50200,50200,49800,49800,49300,48800,48300,48300,48300,,47800,47300,46300,,T0000105,SD
short,0.0046,31700,31700,31700,31700,31700,31700,30700,30700,30700,30700,30700,31700,31700,31700,31700,31700,31700,31200,31200,31200,31200,31200,30700,30700,30700,30700,30700,30700,30700,30700,30700,30700,30700,30200,30200,30200,30200,30200,30200,30200,30200,30200,30200,30200,,,,,,,T0000105,SD
short,0.0097,15100,15100,15100,,,,,,41900,41900,41900,42400,42400,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,43400,43400,43400,43900,43900,43900,43900,43900,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,T0000105,SD
short,0.0081,43900,43900,43900,43900,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,T0000105,SD
flat,0.0445,42400,42400,42900,42900,42900,42900,43900,43900,43900,43900,43900,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44900,44900,44900,44900,44400,44400,44400,44400,43900,44400,43900,43900,43900,42900,42900,42900,42900,42900,42900,42400,T0000105,SD
flat,0.0588,,42900,42400,42900,42900,43400,43400,43900,43900,43900,44400,44400,45400,44900,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45400,45800,45400,45800,46300,46300,45800,45800,46300,46300,46300,47300,46800,46800,46300,,,46800,47300,47300,47300,47300,,,,,T0000105,SD
complex,0.0522,47800,47300,48300,48800,48800,48800,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,,49800,50200,50200,50200,50200,50700,50200,51200,51200,51200,51700,51200,51200,51200,51200,51200,50700,50700,50200,50200,50200,50200,50200,50200,50700,50700,51200,50700,52200,52200,,55100,T0000105,SD
flat,0.131,41000,50700,40000,40500,41500,41500,,,,42400,42400,,,,,42400,42400,41900,41500,41000,41900,41900,41900,42400,42400,41900,41900,41500,41000,41000,,,,,41900,41900,41000,40000,39500,40000,,,37100,,,38500,38500,38500,38500,,T0000105,SD
flat,0.1428,,37100,36100,36100,,35600,36100,35600,36100,35600,35100,35600,35600,35600,35600,35100,,,,,,,,,,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,,34100,34100,,,,,34100,34100,34100,34100,34100,34100,34100,33200,T0000105,SD
short,0.004,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,58500,58500,58500,58500,58500,58500,58100,58100,58100,58100,58100,58100,58100,58100,58100,58100,58100,58100,58500,58500,58500,58500,58500,58500,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,,T0000105,SD
flat,0.131,,,34600,,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100,33600,,,34100,34100,34100,34100,34100,34100,34600,,33600,,60500,,,,,34100,33600,33200,,,40500,,41000,40500,40500,,40500,,T0000105,SD
flat,0.0926,,,33600,34100,34100,34100,34100,34100,34100,33600,34100,33600,33600,,33200,33200,33200,33200,33200,,,34100,,33200,33200,33600,33600,33200,34100,33200,33600,33600,33600,33600,33600,33600,33600,33600,33600,33600,34100,34100,34100,33600,33600,33600,33600,33600,33200,33600,T0000105,SD
flat-z,0.129,,39000,,,,,,,,,,,33600,,,,,33200,,,,,,,,,,,,,,,,,,,,,,,,,,32700,32700,,,32700,,,T0000105,SD
flat,0.0179,38000,38000,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,39000,39000,39000,39000,39000,39000,39000,39500,39000,39500,39500,39500,39500,39500,39500,39500,40000,40000,40000,40000,40000,40000,40000,40500,40500,40000,41000,41000,41000,41000,41000,T0000105,SD
flat-mz,0.13,,34600,35100,35600,37500,38000,38500,38500,38000,38000,38500,39000,38000,38500,39000,38000,38000,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,38000,38000,38000,38000,38500,38500,38500,39000,,,38000,38500,38000,38000,38000,76100,38000,38500,39000,39000,39500,39500,39000,T0000105,SD
flat,0.1039,,,37100,37100,37100,37100,37500,38000,37100,,,37500,36600,37100,36600,,,,36100,35600,35600,35600,35600,35600,,,,,35100,35100,,,,,,34100,,,35100,34100,34100,,,96100,,34600,,,,,T0000105,SD
flat,0.0184,,,,40500,40500,40000,40000,40500,40500,40000,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,41000,41000,41000,40000,40500,40000,40000,,40000,40000,40000,40000,40500,40500,40500,41000,,,,40500,40500,40500,40500,40500,,,,,,T0000105,SD
flat,0.0762,,47800,,47800,47800,47300,,,,,47300,47300,47300,47300,,46800,46300,,45800,45800,,,,,44900,44400,43900,44400,43900,44400,43900,43900,44900,44400,,,45400,,43900,,,44400,44900,45400,45400,45800,46300,46300,46800,46300,T0000105,SD
,0.0496,,,42400,42900,42900,43400,42900,42400,42400,,,,,,,,,,,,,43900,44400,44400,44400,43900,43900,43400,42900,42900,42400,,63400,63400,,,45400,45800,45400,,,45400,45400,,,46800,46300,45800,,,T0000105,SD
flat,0.0542,38500,38500,38500,39000,39000,39000,39000,39000,39000,39000,39000,38000,38500,38000,37500,38500,17500,,,37100,37500,37100,36600,36600,37100,36600,36600,36100,36100,36100,36100,35600,35600,35600,35100,35100,35100,,,34100,34100,34100,,,33600,34100,,,,32700,T0000105,SD
flat,0.1715,43900,44900,45400,45400,,,45400,,,43400,,42400,41900,,41500,,,,,,,,,41000,41500,41500,41900,41900,41900,41900,42400,,,41900,41900,42400,42400,42400,42400,42400,42400,42400,42900,42900,42900,42900,42900,42900,42900,,T0000105,SD
trill-f,0.0901,41500,42900,43400,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43400,43400,43900,43900,43400,43400,43400,43900,44900,44900,44900,44400,43900,43400,43400,43400,43900,43900,41900,,,42400,43900,43900,44400,44400,44400,44400,43900,43900,43900,43400,43400,T0000105,SD
flat-z,0.2877,40000,41500,41500,41900,42400,42400,42400,43400,43400,43400,42900,43400,42900,42900,42900,42900,42900,42900,42900,43900,44900,45400,45800,45800,45800,45400,45800,45800,46300,46300,46800,47300,46800,45800,45800,45800,45800,45800,45800,46300,46300,45800,45400,45400,44900,44400,44400,43900,43400,41900,T0000105,SD
